order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amout
427,1903,536,Table,East Gregoryland,2025-01-19,7,71.64
350,36,304,Shirt,West Michelle,2021-03-25,24,42.98
445,1887,24,Salad,West Michaelfurt,2025-03-04,4,182.66
199,549,328,Shirt,Williamsberg,2023-11-28,14,323.91
992,381,44,Chicken,South David,2021-07-31,21,88.51
186,1822,275,Cheese,North Dannyview,2021-07-13,28,257.41
808,603,195,Keyboard,Jonesburgh,2022-03-24,3,187.55
877,491,268,Sausages,South Kevinfort,2022-08-16,1,261.23
683,262,446,Computer,West Fernandoport,2023-10-30,28,30.6
299,1396,481,Keyboard,Ginastad,2024-10-01,28,188.32
386,1657,46,Chicken,Lake David,2026-01-02,12,183.82
314,349,588,Gloves,Johnborough,2022-12-02,7,206.73
73,1557,441,Hat,Lake Audrey,2021-11-02,4,108.44
142,1018,274,Hat,North Christopher,2024-10-29,19,24.33
736,1690,43,Chair,Port Richardfurt,2025-08-20,12,167.34
512,1028,34,Chips,Greenville,2022-08-17,6,66.4
183,1954,555,Gloves,South Thomasmouth,2022-11-28,5,75.89
672,367,456,Gloves,East Andrew,2025-02-22,0,112.43
877,201,411,Sausages,Lake Tylermouth,2024-11-09,27,192.32
245,859,73,Table,North Haroldview,2025-10-14,3,45.7
135,1766,506,Gloves,Davishaven,2022-10-05,13,260.49
293,815,329,Towels,North Alexander,2022-02-19,16,270.62
282,1433,345,Chicken,West Jamesshire,2021-10-23,4,157.8
561,1740,176,Table,South Andreaburgh,2023-10-18,0,279.94
686,1875,556,Sausages,Marcusville,2025-08-15,17,179.56
657,1165,387,Computer,Yorkberg,2023-07-10,27,114.25
794,1890,199,Bacon,New Erica,2026-01-10,16,194.65
508,1581,177,Pizza,Josephberg,2022-06-01,22,296.33
939,681,462,Shirt,Davidport,2025-11-11,25,214.96
458,1598,369,Cheese,Lake James,2022-09-27,10,239.87
108,1380,239,Salad,Carolynville,2023-09-06,25,343.84
335,246,381,Shoes,Joyceland,2022-12-11,20,269.2
159,422,576,Cheese,Lake Jasmineland,2025-12-07,29,35.61
402,1404,11,Pants,West Anthonyhaven,2024-10-01,20,205.55
521,1108,468,Ball,Ellisberg,2021-03-04,29,108.5
854,132,466,Bike,North Raymond,2024-09-22,30,181.53
640,1708,362,Mouse,West Eric,2021-10-14,11,223.68
303,1339,58,Soap,Port Sara,2024-02-22,18,174.37
331,1710,545,Car,Heatherfurt,2025-03-28,18,171.69
262,920,283,Tuna,Port Marissa,2023-10-27,10,109.59
269,781,89,Salad,South Williamville,2024-01-23,28,267.92
924,731,187,Chicken,Brentton,2022-03-16,3,111.17
193,976,379,Towels,Marisaton,2025-08-29,1,146.53
331,30,288,Mouse,Lake Sarahaven,2023-08-30,28,201.48
631,1266,429,Tuna,New Stacytown,2022-11-30,9,253.47
840,460,137,Computer,Jacobside,2024-02-15,23,66.32
582,827,34,Bacon,Port Aprilhaven,2022-11-04,21,329.4
745,363,96,Tuna,Jimmyport,2024-02-02,9,203.77
535,1726,559,Ball,Port David,2022-05-17,2,304.86
197,68,143,Sausages,East Joanneland,2024-11-21,28,104.52
625,1689,363,Cheese,Hernandezshire,2021-03-19,8,190.53
477,975,19,Salad,Nelsonfurt,2025-09-29,25,276.13
278,623,117,Car,West Carlburgh,2024-10-14,15,65.23
226,1788,464,Shoes,Clarkebury,2022-09-02,16,311.67
73,1225,356,Car,South Joseview,2021-11-21,26,235.82
870,979,80,Tuna,East Leslieborough,2022-03-21,25,136.36
131,1553,588,Computer,Pachecoport,2024-09-01,20,125.7
958,281,565,Mouse,Lake Marcusbury,2022-03-29,26,313.32
509,1947,19,Keyboard,South Rebeccaport,2023-03-18,19,144.68
624,651,316,Ball,Brownberg,2025-08-02,4,188.69
352,952,258,Cheese,New Oliviaside,2024-12-02,29,159.16
511,1278,12,Chicken,South Ashleyland,2025-09-08,12,274.3
171,1151,166,Sausages,Allisontown,2024-01-10,0,255.14
497,319,583,Ball,West Melissa,2022-01-29,10,139.34
135,3,222,Towels,Josestad,2021-10-15,0,271.93
613,1186,396,Pants,Lake Joyce,2023-12-04,18,300.2
375,1133,560,Computer,New Jennafort,2023-12-10,22,19.98
66,1405,135,Computer,East Kathleen,2021-06-11,5,232.61
605,580,460,Shirt,Turnerstad,2025-08-08,0,144.91
525,1699,589,Shoes,Lake Jacquelinechester,2023-11-15,21,144.29
660,628,553,Tuna,Marcustown,2021-05-05,16,19.54
948,221,572,Chicken,Port Alexandrachester,2021-07-11,7,126.96
127,1076,509,Chips,Lake Tiffanytown,2022-01-30,25,186.27
391,90,489,Car,Port Carl,2024-04-01,24,49.8
322,688,461,Salad,Stefanieville,2021-07-22,10,261.65
338,628,431,Fish,Lake Karen,2021-04-05,19,93.55
715,1039,80,Pizza,Port Matthewview,2024-07-29,7,294.88
273,1790,98,Bacon,Galvanmouth,2023-07-01,17,326.63
759,1649,224,Shoes,Hooperton,2023-07-29,8,233.3
285,718,378,Keyboard,New Andrewberg,2022-08-21,19,218.91
662,1626,370,Car,Cassandrachester,2023-05-08,14,303.87
231,1817,93,Shoes,New Paul,2025-06-10,21,183.23
148,8,433,Hat,West Kristentown,2025-08-03,0,178.93
778,1722,80,Chair,Pattersonburgh,2023-10-11,27,304.14
334,1446,464,Towels,Brownmouth,2021-09-16,2,97.71
615,1792,554,Salad,North Carlos,2025-05-25,0,189.96
213,692,77,Towels,Jamesstad,2024-05-26,25,189.44
849,200,69,Keyboard,Garciabury,2022-03-30,24,180.29
927,480,585,Bike,Ortegamouth,2021-05-27,0,249.56
238,445,447,Computer,South Meganbury,2024-09-22,14,316.55
963,121,478,Soap,Hallland,2024-06-20,2,301.96
31,1381,203,Hat,South Tracey,2022-05-02,25,164.99
880,1347,261,Shoes,Ryanburgh,2022-12-24,15,173.78
759,19,265,Pants,New Albertview,2024-04-12,6,78.42
58,879,87,Towels,Yolandastad,2022-11-27,11,297.6
845,411,82,Mouse,Jillland,2024-11-05,22,39.21
347,580,486,Shoes,Hicksview,2024-09-17,17,289.44
143,546,227,Bike,New Aliciaborough,2025-08-26,26,97.93
261,244,67,Fish,West Brycemouth,2021-12-21,2,62.64
152,1576,502,Chips,Patriciafort,2022-12-05,30,35.75
156,309,226,Chips,North Patricia,2023-05-01,30,261.32
290,1716,193,Sausages,Micheleland,2021-06-14,5,348.42
370,1911,513,Sausages,Port Marie,2021-07-13,13,183.45
121,1788,234,Chair,New Alyssa,2025-05-26,21,124.31
569,1689,243,Mouse,Lake David,2024-11-15,19,180.44
105,1035,227,Car,Parkershire,2025-07-27,23,150.18
277,1547,280,Chips,Jasonport,2021-11-23,2,209.97
729,301,478,Salad,Kimberlyside,2025-12-14,9,234.12
161,474,582,Bacon,New Heatherview,2021-05-20,12,166.2
782,1993,341,Shoes,Lake Gabriellestad,2021-07-11,28,265.2
185,588,21,Tuna,South Jamesshire,2025-12-28,24,38.61
393,78,157,Gloves,Benjaminchester,2024-10-25,13,309.53
422,43,356,Shoes,West Brooke,2021-04-19,6,12.29
948,1306,56,Pizza,West Nancyburgh,2024-09-26,9,149.89
655,471,537,Gloves,Barnesstad,2025-03-21,8,75.29
743,687,357,Sausages,South Amber,2024-06-26,9,22.16
917,599,421,Ball,Douglasshire,2021-02-18,10,192.99
542,1870,499,Mouse,North Erika,2021-07-01,4,92.87
117,1412,332,Soap,South Jasminport,2022-12-11,25,82.78
450,636,200,Fish,Wattston,2024-04-23,24,340.35
583,509,482,Soap,Carrollberg,2025-03-03,24,152.79711527532555
386,283,267,Bike,New Monica,2024-10-27,4,32.56
741,905,332,Tuna,Vargaschester,2023-11-26,20,118.96
881,150,481,Cheese,Hallhaven,2024-12-09,14,330.78
151,511,453,Chips,West Antoniohaven,2021-08-27,4,133.69
269,647,188,Gloves,Port Kaylamouth,2023-08-21,4,216.72
22,1576,341,Chips,South Patrickchester,2021-03-10,24,200.57
235,486,446,Chips,Greenbury,2023-04-10,26,281.79
97,355,7,Chips,New Briana,2024-01-01,12,234.91
589,8,294,Salad,Crystalbury,2026-01-05,22,253.13
742,126,290,Ball,Brettport,2023-08-31,14,154.23
297,818,278,Sausages,Deannaville,2024-09-21,2,70.4
872,560,331,Pizza,Port Janet,2025-11-28,17,325.52
318,1231,178,Towels,East Kim,2024-04-03,29,219.6
791,343,545,Chicken,Ashleyfurt,2022-01-19,22,333.68
641,1198,295,Towels,Lake Robertfort,2022-12-15,18,70.86
210,95,478,Pizza,East Angela,2021-01-26,6,200.46
331,1116,257,Chicken,Johnsonland,2025-07-14,14,20.43
705,489,235,Sausages,Elliottfurt,2023-01-19,12,299.73
160,375,587,Gloves,Heatherfort,2023-12-20,8,280.82
968,764,73,Keyboard,Morganville,2022-06-30,24,242.42
801,1853,552,Towels,Smithport,2021-03-18,9,166.15
590,78,297,Computer,Hensonbury,2025-06-25,19,60.56
510,1194,16,Bacon,New Brittany,2026-01-06,7,130.44
436,1261,480,Shirt,South Christopher,2024-06-11,4,71.92
740,1830,38,Table,Blankenshipstad,2025-06-06,6,26.47
131,874,399,Shirt,Port Nancy,2023-01-29,25,166.64
489,1619,74,Ball,Brianburgh,2025-12-28,19,262.31
716,1047,307,Computer,East Allen,2025-11-30,18,153.69
530,167,532,Towels,West James,2024-01-19,14,149.64
472,567,430,Table,Jameshaven,2024-12-07,12,184.42
910,795,15,Shoes,North Dana,2023-02-06,8,104.57
751,849,123,Towels,Clarkview,2022-04-21,8,270.51
301,914,38,Mouse,East Christianbury,2021-02-21,14,58.17
291,502,590,Car,South Mark,2024-01-30,26,305.78
232,1517,509,Soap,Josephfurt,2022-12-04,17,25.5
332,1199,391,Mouse,Nguyenview,2023-05-06,27,196.16
528,667,567,Ball,Cervantesview,2023-02-25,24,242.12
409,160,503,Fish,Port Sarahfurt,2024-04-08,24,62.5
270,1709,41,Fish,Reedburgh,2024-11-22,10,297.67
363,276,135,Chair,Port Annetteville,2023-07-08,24,132.93
337,1167,490,Bacon,Brentton,2022-12-16,17,156.83
785,998,26,Shoes,West Brian,2021-12-16,29,299.67
528,333,538,Car,Medinaberg,2022-07-21,5,38.91
337,1,375,Sausages,Shawmouth,2025-10-17,2,11.89
555,1477,596,Fish,Dawnstad,2024-06-01,6,168.95
723,365,385,Computer,Perezview,2021-10-01,21,238.54
877,93,157,Mouse,North Bernardville,2024-12-24,14,27.46
441,374,582,Computer,Wrightshire,2025-05-06,28,181.32
287,1136,518,Tuna,Lake Tylerland,2024-08-19,0,347.22
747,1151,598,Ball,West Anthony,2023-07-08,18,206.59
25,210,548,Chicken,Port Natasha,2022-04-27,13,118.78
635,1243,591,Pizza,West Molly,2023-06-19,21,126.13
49,1099,393,Bacon,Elliottshire,2025-04-15,27,170.42
772,678,136,Tuna,Garciachester,2022-04-16,8,338.0
887,215,19,Keyboard,East Ronnie,2021-03-21,25,348.44
888,1848,359,Fish,Delgadoport,2024-02-22,14,224.26
910,515,523,Ball,Brianport,2024-08-17,20,141.94
218,1243,549,Salad,Port Carlos,2022-10-31,19,75.49
512,1743,2,Cheese,Frankland,2024-06-24,13,87.5
527,1974,404,Car,New Raymondton,2025-10-03,14,245.22
267,29,255,Computer,West Steven,2021-05-05,29,39.22
156,1332,73,Keyboard,Brownville,2022-03-10,12,172.6
372,113,170,Hat,East Travisstad,2022-08-11,6,88.98
3,680,238,Towels,South Karen,2021-05-14,20,78.93
439,587,75,Pants,New Davidchester,2022-07-22,17,327.17
452,939,380,Table,North Candice,2025-07-08,22,192.57
522,738,512,Soap,Bensonhaven,2025-06-26,4,349.26
528,886,175,Chair,New Leslie,2023-06-08,23,27.44
147,1205,150,Sausages,West Cathyhaven,2025-11-25,27,35.67
152,1739,478,Shirt,South Ginaport,2022-06-20,0,266.73
858,685,96,Sausages,North Michaelmouth,2022-11-27,27,204.37
360,1405,487,Keyboard,South Michellefurt,2022-07-26,23,104.21
983,1554,301,Sausages,Port Brandi,2025-01-17,14,49.57
64,1802,77,Computer,Port Zachary,2021-01-21,18,254.76
95,1075,384,Car,Lake Austin,2024-12-08,23,151.43
458,1935,300,Bike,Whiteside,2022-06-12,23,168.9
366,234,367,Bacon,Port Michaelstad,2023-11-09,22,53.58
523,1079,169,Hat,Ayersport,2024-11-26,17,82.19
135,314,49,Chair,Nancymouth,2022-06-26,28,342.19
278,1038,333,Table,Davidburgh,2024-04-30,25,29.59
380,1411,402,Pants,Williamfort,2023-08-28,4,18.25
988,622,181,Gloves,New Danielfort,2024-06-18,23,151.19
704,853,552,Soap,Davisfort,2023-05-10,1,272.73
509,1160,134,Cheese,Huntershire,2023-07-08,9,21.95
275,612,475,Computer,East Jamesville,2024-09-22,26,32.36
185,467,307,Pizza,West Michele,2022-11-04,18,220.4
409,1011,396,Car,Ashleyport,2024-01-12,19,24.36
602,125,211,Shirt,West Sharon,2025-10-03,26,265.6
900,649,352,Towels,Cooperhaven,2024-06-03,8,219.46
590,1466,347,Bike,Jamesfurt,2024-02-16,2,197.31
696,1681,15,Shirt,Hollowayton,2023-03-07,12,264.16
968,344,455,Chair,North Emma,2021-10-27,30,89.43
661,826,599,Chair,Port Dawn,2022-03-02,23,19.57
179,1365,25,Fish,Sarahville,2023-02-13,15,189.24
293,1060,180,Shoes,Gouldberg,2024-03-06,20,45.4
85,958,329,Shirt,East Maureenside,2024-09-15,1,280.4
151,1158,349,Hat,Justinchester,2021-10-11,15,18.71
801,1112,490,Keyboard,North Davidfurt,2023-02-05,9,163.7
801,1722,264,Chips,Lowefurt,2024-04-19,3,225.29
755,535,425,Chips,New Latasha,2024-05-18,5,164.67
896,423,266,Chicken,Port Brandon,2025-02-16,16,118.5
461,489,132,Mouse,Edwardhaven,2022-05-09,24,24.28
373,1235,562,Car,West Danastad,2023-01-11,16,269.45
115,1146,25,Shirt,West Paulstad,2023-07-12,22,255.95
172,650,295,Towels,Hicksshire,2023-09-04,14,202.93
323,755,168,Mouse,Port Brittanyborough,2024-11-28,29,336.84
244,843,178,Pizza,East Richardfurt,2021-12-06,15,303.1
824,1435,536,Chicken,Leeshire,2025-08-22,10,195.49
619,1490,54,Soap,South Josephshire,2025-03-23,4,72.5
878,185,407,Fish,Sherylstad,2024-08-06,4,208.1
17,1330,226,Bike,Port Deniseburgh,2023-11-19,17,272.4
795,1163,129,Salad,Williamsbury,2022-09-11,28,52.5
125,336,414,Computer,Stevenchester,2025-02-12,26,10.67
671,765,256,Bacon,Wallaceport,2022-02-13,17,239.41
122,594,170,Shirt,Ashleyhaven,2021-10-05,11,215.23
882,304,409,Table,New Stephanie,2021-11-01,29,209.78
855,215,429,Bike,Lake Brandon,2022-05-16,2,324.82
612,799,477,Gloves,Gordonville,2022-09-20,0,202.45
625,1755,25,Pizza,Courtneyton,2022-02-05,26,121.25
944,1251,541,Bacon,Elaineberg,2024-06-26,22,311.8
961,1840,301,Gloves,Michellemouth,2022-03-22,7,54.97
228,1457,186,Chips,New Kellystad,2021-07-15,17,25.49
957,309,286,Table,Briannaborough,2023-01-28,11,136.92
456,707,254,Car,Robertchester,2025-03-27,26,235.47
344,1760,594,Gloves,South Pamela,2025-12-09,13,182.69
877,1579,9,Pants,Simsview,2023-08-11,29,65.3
933,1430,290,Bacon,Angelaland,2023-09-13,3,181.3
890,1529,45,Keyboard,Wallerland,2024-07-10,19,89.69
190,1292,348,Ball,Brittanyview,2025-11-28,17,28.24
831,547,331,Gloves,Walshstad,2021-08-31,12,82.43
836,1801,509,Mouse,Port Nicholas,2021-03-18,29,262.84
849,1755,564,Ball,Patrickfort,2023-02-17,2,250.94
528,1696,172,Fish,Greenmouth,2025-12-12,23,281.74
716,860,314,Shirt,Port Lisaville,2022-02-20,4,183.2
93,64,521,Chair,Kaiserside,2024-10-16,15,127.87
486,1949,437,Tuna,Port Nancy,2021-04-14,3,203.42
145,1933,194,Cheese,Michaelmouth,2022-04-12,12,201.98
173,350,592,Mouse,South Tiffanyton,2022-07-27,20,194.55
252,375,83,Fish,West Angelastad,2023-08-04,19,286.26
4,253,301,Tuna,Mendezberg,2023-09-28,18,245.14
30,550,570,Chips,Cindyside,2023-08-27,6,285.39
734,1437,332,Chips,Alexisport,2025-07-27,5,291.67
877,610,32,Bacon,Carrollstad,2021-05-16,8,111.52
440,35,74,Tuna,Annafurt,2023-12-24,29,69.19
722,1778,47,Pizza,Craigfurt,2023-12-16,6,328.99
1000,360,531,Towels,Skinnerfort,2021-06-13,1,288.7
493,500,412,Sausages,Yolandaborough,2024-10-09,13,57.81
147,285,220,Soap,Perezton,2025-09-23,30,121.22
269,1946,171,Pants,Matthewmouth,2026-01-09,19,344.51
63,658,301,Chicken,Swansonmouth,2024-09-02,23,88.56
992,700,285,Shirt,Matthewtown,2024-03-26,29,44.21
226,706,72,Pants,South Davidborough,2023-06-01,1,25.78
492,164,314,Bacon,Kellymouth,2022-01-28,15,54.63
98,1127,27,Computer,Jaredberg,2021-02-27,16,192.29
113,4,80,Towels,Davisshire,2025-06-07,8,35.13
264,39,321,Shoes,Kellimouth,2025-03-04,24,121.46
689,1796,452,Pants,Jamestown,2025-12-02,15,145.26
305,1120,10,Cheese,Mariahmouth,2023-09-16,23,243.11
465,1313,446,Cheese,Rubenburgh,2023-04-21,22,238.6
488,1034,197,Computer,Stephaniemouth,2024-10-14,9,128.28
210,1150,395,Car,Williamshaven,2024-04-08,13,127.91
661,421,16,Bike,Allenmouth,2024-01-11,20,23.31
804,164,272,Salad,Port Meghan,2021-06-11,4,120.96
999,1570,304,Gloves,South Gregoryport,2021-06-21,28,112.93
30,182,485,Gloves,East William,2024-10-30,16,89.64
62,495,522,Pizza,Taraville,2021-10-18,27,135.86
978,321,483,Soap,Justinshire,2021-11-03,9,294.15
585,162,535,Keyboard,West Bethfort,2025-01-24,15,200.39
474,1012,495,Pizza,South Tony,2024-09-15,1,171.85
967,19,482,Chair,West Jessica,2025-11-27,5,187.11
213,1314,284,Ball,Walshland,2025-04-27,19,12.46
552,663,168,Cheese,North Kimberlyburgh,2023-01-24,28,160.58
272,1987,9,Hat,Terrellton,2023-06-21,8,343.48
858,193,247,Computer,Frederickburgh,2025-08-17,29,213.65
201,968,32,Ball,East Jerryville,2021-08-25,10,304.93
4,415,220,Keyboard,Lindseytown,2025-03-17,22,90.69
734,1818,129,Computer,Hallchester,2025-02-05,10,182.4
398,1499,20,Shirt,Jessicafurt,2025-06-23,29,36.77
827,167,357,Ball,Williamschester,2023-09-16,21,285.1
504,179,209,Pizza,Lake Andrechester,2022-11-07,15,84.17
249,1966,552,Mouse,Jamesburgh,2021-12-24,12,346.99
238,766,116,Keyboard,Debramouth,2025-02-25,2,293.7
268,941,386,Cheese,North John,2023-12-14,24,232.64
678,1409,154,Computer,West Christopher,2021-09-16,3,177.74
53,822,310,Chicken,New Jeremy,2025-04-05,14,186.1
962,1266,42,Car,Brandonville,2021-11-20,7,196.81
307,281,12,Chicken,Christianville,2021-08-18,16,179.17
760,308,193,Fish,Alexisfurt,2023-07-01,26,237.23
722,891,582,Ball,South Andre,2023-08-22,11,275.96
237,1649,383,Cheese,South Benjamin,2022-03-03,20,133.5
667,410,30,Soap,North Donnachester,2021-12-20,4,302.83
893,115,306,Bike,North Heather,2024-08-26,6,40.67
112,1309,80,Bike,Evanston,2023-09-24,9,254.35
87,740,175,Chair,Port Allison,2023-09-06,23,345.77
479,736,338,Gloves,Richardmouth,2024-01-28,29,225.3
76,80,295,Cheese,Joshuaville,2024-05-07,12,251.89
220,1173,6,Salad,Avilaborough,2024-06-28,9,328.8
926,607,522,Sausages,Donnaport,2025-05-10,15,349.87
811,767,579,Pizza,Port Elizabethhaven,2023-02-26,1,220.37
680,1540,599,Bacon,Jenniferberg,2022-02-18,24,257.88
295,1595,270,Bacon,Julieland,2021-08-23,27,133.43
813,467,580,Soap,Scottchester,2025-07-29,0,149.85
208,567,85,Bacon,Millerport,2022-12-23,28,211.97
745,1555,245,Salad,Timothyfort,2025-02-22,12,64.62
88,1957,89,Keyboard,Annebury,2024-10-07,16,110.7
14,1918,492,Mouse,Teresaton,2024-10-28,10,209.9
833,739,306,Bacon,Bentontown,2023-02-10,14,171.96
628,42,268,Shoes,Millerchester,2024-02-09,30,173.37
334,1786,228,Pizza,Hernandezburgh,2023-06-18,16,273.38
655,597,338,Car,Port Gabrielberg,2023-02-01,6,92.37
602,1605,306,Shirt,Melissaport,2022-03-03,14,339.82
949,1267,596,Bike,North Darrenview,2022-08-10,24,68.49
798,202,529,Chair,East Kayla,2021-04-27,20,229.5
41,1897,422,Shirt,North Brittany,2023-05-10,21,246.47
750,1235,459,Chips,Brownton,2022-08-14,23,192.53
573,354,121,Chair,Olsonfurt,2025-03-13,12,199.83
936,1622,247,Cheese,New Danielborough,2022-01-13,2,124.72
297,1747,249,Table,Eatonview,2021-05-10,23,32.7
715,1169,421,Car,North Evelyn,2023-06-04,17,209.34
579,1215,212,Chicken,East Emma,2025-06-12,13,240.53
423,970,181,Keyboard,Chaseside,2022-07-24,29,38.7
454,938,119,Pizza,Port Nathan,2023-05-21,23,320.42
946,169,549,Shirt,Schmidtborough,2021-12-23,4,186.46
610,1011,146,Keyboard,New Robert,2022-11-06,21,113.35
319,313,46,Shoes,Port Calebville,2025-06-15,17,321.12
717,1147,115,Towels,Ericville,2021-03-09,7,273.75
943,640,438,Sausages,Kaylachester,2024-06-02,3,194.61
455,1099,373,Bacon,Brianshire,2024-07-18,8,27.57
183,1068,356,Chicken,East Rachel,2025-04-20,22,130.29
915,1614,21,Towels,West Brenda,2023-04-03,22,174.38
942,297,329,Fish,South Kristen,2021-05-11,17,115.22
867,1383,239,Salad,Jonville,2024-05-23,4,304.2
451,701,52,Chips,North Carlosshire,2022-02-16,24,229.32
314,28,504,Shoes,Blairville,2023-11-29,7,136.56
860,1803,375,Cheese,Richardsonborough,2023-12-26,1,317.94
997,1079,159,Shirt,West Amanda,2024-10-30,11,318.24
540,999,12,Table,Simmonsborough,2024-09-12,27,127.21
365,739,406,Cheese,Smithtown,2021-11-09,9,161.96
974,1767,179,Car,Port Christopherborough,2022-01-05,24,282.63
543,1076,219,Cheese,Port Nicole,2022-10-16,13,294.85
560,1424,406,Keyboard,Maryland,2023-05-23,10,115.28
188,1035,143,Chicken,Aaronside,2023-11-17,14,53.27
652,1315,255,Computer,Deannashire,2025-11-27,7,173.44
277,154,278,Soap,Lake Deannabury,2022-01-18,0,35.27
805,517,287,Shoes,Yufort,2024-07-21,23,159.5
705,1632,69,Salad,New Ryan,2024-04-29,19,336.54
621,957,141,Mouse,West Jimmyfort,2024-07-08,21,270.8
297,289,275,Tuna,Estesfort,2022-05-01,29,33.5
912,1164,183,Cheese,Floresmouth,2025-11-28,7,307.55
406,1963,263,Car,South Stephanieland,2022-01-27,18,319.26
855,1750,249,Shirt,South Andrefurt,2024-09-13,10,348.9
94,612,243,Shirt,North Ronaldburgh,2022-09-24,10,339.7
997,806,428,Hat,Port Courtneyberg,2021-11-14,15,320.89
244,1014,264,Pants,Jonathantown,2023-09-19,21,288.48
634,912,517,Car,Jacksonshire,2025-06-19,16,225.32
406,1519,562,Tuna,Melissaside,2025-08-28,23,337.38
27,595,120,Mouse,South Angelatown,2024-03-22,6,250.73
364,480,401,Computer,Wongshire,2021-07-21,8,284.64
738,1546,574,Chips,South Wendy,2024-12-23,30,211.94
195,1047,529,Fish,Stouthaven,2021-06-28,8,239.6
502,935,496,Cheese,South Alexis,2021-07-28,14,219.2
766,1232,319,Fish,Kellymouth,2022-07-10,6,11.56
249,1011,389,Keyboard,Bergerport,2025-06-06,28,107.6
319,1733,108,Hat,New Daniel,2023-06-30,30,100.81
184,1791,130,Cheese,Jameschester,2021-06-30,20,194.17
70,1685,65,Sausages,North Catherinebury,2024-12-14,1,303.23
503,1520,48,Salad,Greenside,2025-03-20,12,187.42
586,361,253,Mouse,Port Jason,2025-01-21,13,234.52
282,1942,81,Chair,East Dana,2022-06-24,0,104.6
679,1019,184,Towels,Aaronborough,2021-02-19,20,150.4
645,1485,101,Car,Campbellside,2024-02-06,28,182.7
804,357,64,Fish,New Bruceberg,2024-06-24,21,133.89
707,1029,116,Cheese,Stephaniemouth,2024-09-29,10,88.82
16,1721,400,Cheese,West Donna,2024-09-03,28,281.78
505,709,559,Gloves,Port Michaelstad,2021-03-22,28,155.52
334,903,446,Pizza,Port Michael,2024-03-12,30,90.73
482,907,584,Chips,Davidshire,2022-06-06,13,301.21
52,357,117,Sausages,Mooreburgh,2021-07-28,10,341.66
966,471,183,Cheese,East Tyroneshire,2023-12-23,3,49.4
571,686,81,Soap,East Jerry,2025-04-29,28,281.29
251,472,193,Soap,Kathleenport,2025-07-06,20,189.95
706,39,273,Bacon,Stacychester,2024-09-14,28,320.66
263,412,364,Pizza,Gillborough,2022-06-24,8,252.83
48,50,598,Table,Martinezchester,2023-01-09,9,239.72
244,1841,220,Sausages,Port Paula,2023-11-28,6,282.11
738,63,55,Table,Jeffreyfurt,2022-08-22,30,225.13
566,1236,464,Sausages,North Williamton,2025-04-06,8,75.15
709,902,197,Pizza,South Lindsey,2023-02-16,28,185.86
36,1484,87,Hat,Caitlynfurt,2024-06-26,17,287.19
141,843,17,Fish,Jonathanside,2025-01-12,19,20.5
742,1014,303,Table,Benjaminmouth,2025-07-04,23,56.88
974,314,64,Chair,Suttonshire,2022-02-01,25,16.7
532,542,102,Computer,Brucefort,2024-11-13,12,293.64
69,783,246,Keyboard,Spencerbury,2021-04-29,1,323.86
337,1592,423,Bike,South Carolyn,2024-07-10,30,204.72
649,834,409,Pants,Jacobport,2025-05-31,24,107.68
936,714,166,Soap,Travisborough,2022-11-06,22,259.63
